Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:18 a.m.:193,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:212,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:228,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:243,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:263,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:292,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:308,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:329,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:352,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:374,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:399,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:425,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:441,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:464,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:487,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:508,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:532,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:557,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:575,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:597,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:619,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:642,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:672,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:689,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:708,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:730,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:754,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:777,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:803,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:821,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:844,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:867,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:889,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:918,77,0,0,3.332642,-1,Floor,
15/07/2022 9:39:18 a.m.:944,77,0,0,3.581543,-1,Floor,
