TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:28 p.m.:820,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:834,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:843,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:854,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:866,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:877,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:888,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:900,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:910,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:922,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:933,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:945,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:956,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:967,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:978,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:989,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:999,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:11,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:22,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:33,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:44,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:55,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:66,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:77,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:88,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:100,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:111,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:124,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:133,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:144,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:157,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:167,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:177,0,0,0,0,0,,,
